state_name,county_name,county_code,TotalPopulation,depression,Arthritis,Chronic disease,Cognitive disability,Current asthma,Current smoking,Mental health not good
AL,AL_Autauga,us-al-001,59095,22.7,28.2,6.8,14.3,10.2,16.9,18
AZ,AZ_Apache,us-az-001,65623,19.2,25.2,10.4,22.9,13.6,27.3,22.7
AR,AR_Arkansas,us-ar-001,16722,24.9,26.2,7.8,17.4,10.2,21.5,19.3
CA,CA_Alameda,us-ca-001,1648556,16,16.6,3.7,10.1,8.7,9.2,13.9
CO,CO_Adams,us-co-001,522140,21.1,22.6,5.5,12.7,10.6,15.3,14.9
CT,CT_Fairfield,us-ct-001,959768,17.5,18.9,4.4,9.9,10.2,11.3,13.5
DE,DE_Kent,us-de-001,184149,19,25.2,6.7,13.7,11.2,18,16.6
DC,DC_DistrictofColumbia,us-dc-001,0,0,0,0,0,0,0,0
FL,FL_Alachua,us-fl-001,0,0,0,0,0,0,0,0
GA,GA_Appling,us-ga-001,18488,23.2,27.1,9.2,19.3,11,23.5,19.6
HI,HI_Hawaii,us-hi-001,202906,0,0,0,0,0,0,0
ID,ID_Ada,us-id-001,511931,25.1,20.7,4.7,12.6,9.5,12.3,14.6
IL,IL_Adams,us-il-001,64954,22.6,23.6,6.7,14.8,10.2,18.1,16.5
IN,IN_Adams,us-in-001,35961,27.2,27.5,9.2,16.2,11.1,22.7,18.7
IA,IA_Adair,us-ia-001,7541,18.5,22.4,6.6,12.2,9.6,18.5,15.8
KS,KS_Allen,us-ks-001,12464,21.6,25,7.2,15.1,10.6,20.2,17
KY,KY_Adair,us-ky-001,18932,28.7,30,9.8,19.8,11.7,23.4,19.7
LA,LA_AcadiaParish,us-la-001,0,0,0,0,0,0,0,0
ME,ME_Androscoggin,us-me-001,111034,28.6,25.5,7.7,15.8,12.4,18.6,17.7
MD,MD_Allegany,us-md-001,67729,23.9,28.6,7.1,13.9,10.3,19.9,17.8
MA,MA_Barnstable,us-ma-001,232411,23.2,25.2,5.1,11.7,10.8,13.1,15.8
MI,MI_Alcona,us-mi-001,10235,26.2,26,7.6,14.2,11.2,20.6,18
MN,MN_Aitkin,us-mn-001,15887,24.9,22.7,6.1,13.5,10,20.7,16.2
MS,MS_Adams,us-ms-001,28742,19.8,27.1,8.3,20.5,10.8,22.8,17.2
MO,MO_Adair,us-mo-001,25185,26.4,27.6,8.5,17.1,10.3,20.6,18.2
MT,MT_Beaverhead,us-mt-001,9524,23.2,23.8,6.1,13.7,10.2,17,16.1
NE,NE_Adams,us-ne-001,31027,19.9,23.1,5.8,11.1,8.7,17,13.5
NV,NV_Churchill,us-nv-001,25723,20.5,24.7,6.7,14.7,10.2,17.1,17.8
NH,NH_Belknap,us-nh-001,64460,23.9,24.1,6,12.3,11.2,15,15.8
NJ,NJ_Atlantic,us-nj-001,274966,20.7,21.7,5.9,13,10,16,16.2
NM,NM_Bernalillo,us-nm-001,674393,23.1,22.4,5.1,14.8,10.8,13.6,16.2
NY,NY_Albany,us-ny-001,313743,23.5,23.3,5.9,11,11.2,15.3,15.6
NC,NC_Alamance,us-nc-001,173877,24.2,25.3,6.7,14.5,10.1,17.1,16.7
ND,ND_Adams,us-nd-001,2167,19.3,24.8,6.1,12.9,9.3,18,14.4
OH,OH_Adams,us-oh-001,27542,25.6,29.6,10.3,17.4,11.2,24.8,19.6
OK,OK_Adair,us-ok-001,19414,26.6,29.2,10.7,22,13.3,30.2,22.3
OR,OR_Baker,us-or-001,16847,27.1,23.4,6.9,15.9,11.2,16.6,18.3
PA,PA_Adams,us-pa-001,104127,23.3,24.3,6.2,13.3,10.5,17.5,16.4
RI,RI_Bristol,us-ri-001,50818,23.8,22.6,4.8,10.6,10.9,11.8,14.5
SC,SC_Abbeville,us-sc-001,24299,23.6,26.3,7.7,16.2,10.3,21.1,19.2
TN,TN_Anderson,us-tn-001,77576,29.5,28.5,8.1,16.5,10.5,21.1,19.4
TX,TX_Anderson,us-tx-001,58402,21.5,23.8,8.1,16,9.5,20.5,17.5
UT,UT_Beaver,us-ut-001,7249,22.8,22.5,5.3,13.2,10.1,10.7,16.2
VT,VT_Addison,us-vt-001,37260,25.2,22.8,5,10.9,10,14.6,14.7
VA,VA_Accomack,us-va-001,33246,22,25.8,8,15.7,11.5,19.8,17.5
WA,WA_Adams,us-wa-001,20621,22.6,23.9,7.2,18.4,11.6,16.5,18.1
WV,WV_Barbour,us-wv-001,15468,28.5,31.9,10.7,20.3,12.2,24.4,21.6
WI,WI_Adams,us-wi-001,20875,22.8,26.3,6.6,13.6,10.6,19.1,15.9
WY,WY_Albany,us-wy-001,37608,21.4,21.7,6,12.5,9.8,14.9,15.4
PR,PR_AdjuntasMunicipio,us-pr-001,0,0,0,0,0,0,0,0
AL,AL_Baldwin,us-al-003,239294,23.2,26.4,6.5,13.3,9.9,15,17.3
AZ,AZ_Cochise,us-az-003,126050,20.4,23.5,6.2,14.5,10.6,16.5,15.5
AR,AR_Ashley,us-ar-003,18674,26.9,27.3,9.4,20.2,10.8,25.7,20.7
CA,CA_Alpine,us-ca-003,1235,20.3,21.3,5.5,12.5,10,13.1,16.3
CO,CO_Alamosa,us-co-003,16547,22.3,24.3,6.5,15.2,11.1,17.1,16.9
CT,CT_Hartford,us-ct-003,896854,22.1,22.1,5.2,11.8,11.5,13.2,15.6
DE,DE_NewCastleCounty,us-de-003,0,0,0,0,0,0,0,0
FL,FL_Baker,us-fl-003,0,0,0,0,0,0,0,0
GA,GA_Atkinson,us-ga-003,8391,23.3,26.7,10.2,22,11.3,25.2,20.1
HI,HI_Honolulu,us-hi-003,1000890,0,0,0,0,0,0,0
ID,ID_Adams,us-id-003,4625,23.3,23.9,6.6,15.7,10.4,17.8,16.6
IL,IL_Alexander,us-il-003,5030,21.8,26,9,19.5,11.6,23.8,18.9
IN,IN_Allen,us-in-003,388608,22.8,24.9,7,13.1,11.1,17.5,16.2
IA,IA_Adams,us-ia-003,3641,18.5,23.5,6.3,11.7,9.5,17.7,15.6
KS,KS_Anderson,us-ks-003,7778,21.4,23.6,7.3,15,10.5,21,16.9
KY,KY_Allen,us-ky-003,20797,29.7,28.6,9.7,19.7,11.4,23.7,19.8
LA,LA_AllenParish,us-la-003,0,0,0,0,0,0,0,0
ME,ME_Aroostook,us-me-003,66859,25.2,25.8,8.6,17.1,12.1,21.8,18.3
MD,MD_AnneArundelCounty,us-md-003,0,0,0,0,0,0,0,0
MA,MA_Berkshire,us-ma-003,128657,22.4,23.2,6.1,13.8,11.2,15.1,16.5
MI,MI_Alger,us-mi-003,8821,23.6,26.6,7.5,14,10.7,20.8,17.2
MN,MN_Anoka,us-mn-003,367018,20.7,20.3,4.7,10.6,9.5,16.3,13.3
MS,MS_Alcorn,us-ms-003,34349,24.5,28.9,8.5,19.2,10.4,22,17.7
MO,MO_Andrew,us-mo-003,18002,23.4,24.5,6.9,14.5,9.3,18.3,16.8
MT,MT_BigHornCounty,us-mt-003,0,0,0,0,0,0,0,0
NE,NE_Antelope,us-ne-003,6279,16.4,22.9,5.9,11.2,8.7,17.3,13.9
NV,NV_Clark,us-nv-003,2292476,18.2,21.6,6.4,14.8,9.6,16.4,17.5
NH,NH_Carroll,us-nh-003,51500,24.3,23.8,5.9,11.9,10.7,13.8,15.1
NJ,NJ_Bergen,us-nj-003,953819,15.8,17.7,3.9,9.2,8.2,10.7,12.9
NM,NM_Catron,us-nm-003,3731,23.4,23.8,8.1,18.5,11.5,21,18.9
NY,NY_Allegany,us-ny-003,46106,24.7,26.6,7.8,13.8,11.6,22.2,16
NC,NC_Alexander,us-nc-003,36644,24.2,25,7.2,14.8,9.7,18.4,16.8
ND,ND_Barnes,us-nd-003,10806,19.4,24,5.3,11.3,8.9,15.6,13.7
OH,OH_Allen,us-oh-003,101670,24.6,27.5,8,14.6,10.6,21.9,17.7
OK,OK_Alfalfa,us-ok-003,5710,22.6,24.3,6.8,14.5,10.1,18.4,16.6
OR,OR_Benton,us-or-003,96017,24.1,22,5.5,13,10.5,12.4,16.7
PA,PA_Allegheny,us-pa-003,1238090,20.9,24,5.4,11.8,10.6,16,15
