state_abbr,Location,depression,temprature
AL,Alabama,High,High
KY,Kentucky,High,High
SD,South Dakota,Low,Low
TX,Texas,Low,High
VA,Virginia,High,High
VA,Virginia,High,Low
WI,Wisconsin,Low,Low
CA,California,Low,Low
CA,California,Low,High
CO,Colorado,Low,Low
CO,Colorado,Low,Low
KS,Kansas,Low,High
KY,Kentucky,High,High
MD,Maryland,High,Low
MD,Maryland,Low,Low
KY,Kentucky,High,Low
KY,Kentucky,High,High
MN,Minnesota,High,Low
MN,Minnesota,High,Low
MO,Missouri,High,Low
SC,South Carolina,Low,High
TN,Tennessee,High,High
TX,Texas,Low,High
WI,Wisconsin,Low,Low
AL,Alabama,High,High
IL,Illinois,Low,Low
MI,Michigan,High,Low
KY,Kentucky,High,High
MO,Missouri,High,Low
MS,Mississippi,Low,High
MT,Montana,High,Low
NC,North Carolina,Low,High
PA,Pennsylvania,High,Low
TX,Texas,High,High
TX,Texas,Low,High
VA,Virginia,Low,High
IN,Indiana,Low,Low
IN,Indiana,High,Low
KS,Kansas,Low,High
KS,Kansas,Low,Low
NE,Nebraska,Low,Low
NM,New Mexico,Low,Low
NC,North Carolina,Low,High
OK,Oklahoma,High,High
TX,Texas,Low,High
WI,Wisconsin,High,Low
GA,Georgia,Low,High
GA,Georgia,Low,High
GA,Georgia,High,High
GA,Georgia,Low,High
IL,Illinois,Low,High
KY,Kentucky,High,High
NV,Nevada,Low,Low
NM,New Mexico,Low,High
OR,Oregon,High,Low
TN,Tennessee,High,High
TX,Texas,High,High
GA,Georgia,Low,High
IL,Illinois,Low,High
NE,Nebraska,Low,Low
MO,Missouri,High,Low
SD,South Dakota,Low,Low
PA,Pennsylvania,High,Low
TX,Texas,Low,High
TX,Texas,High,High
AR,Arkansas,High,High
AR,Arkansas,High,High
AZ,Arizona,Low,High
GA,Georgia,Low,High
IL,Illinois,Low,Low
KS,Kansas,Low,High
KY,Kentucky,High,High
KS,Kansas,Low,High
NE,Nebraska,Low,Low
NC,North Carolina,High,High
NY,New York,High,Low
NC,North Carolina,Low,High
NC,North Carolina,Low,High
TN,Tennessee,High,High
TX,Texas,High,High
TX,Texas,High,High
TX,Texas,Low,High
TX,Texas,Low,High
VA,Virginia,Low,High
CA,California,Low,High
CO,Colorado,High,Low
IN,Indiana,High,Low
IA,Iowa,Low,Low
IA,Iowa,Low,Low
MD,Maryland,Low,High
LA,Louisiana,High,High
MI,Michigan,High,Low
MN,Minnesota,High,Low
NE,Nebraska,Low,Low
NC,North Carolina,High,High
NC,North Carolina,Low,High
ND,North Dakota,Low,Low
TX,Texas,High,High
SC,South Carolina,High,High
TX,Texas,High,High
WI,Wisconsin,High,Low
AR,Arkansas,High,High
GA,Georgia,Low,High
CO,Colorado,Low,Low
IL,Illinois,Low,High
KS,Kansas,Low,High
MI,Michigan,High,Low
MS,Mississippi,High,High
MS,Mississippi,High,High
NE,Nebraska,Low,Low
NM,New Mexico,Low,Low
NJ,New Jersey,Low,High
OH,Ohio,High,Low
TN,Tennessee,High,High
TX,Texas,High,High
TN,Tennessee,High,High
TX,Texas,Low,High
CA,California,Low,Low
GA,Georgia,Low,High
GA,Georgia,Low,High
CO,Colorado,Low,Low
IL,Illinois,Low,Low
KS,Kansas,Low,Low
MS,Mississippi,Low,High
MT,Montana,Low,Low
MI,Michigan,High,Low
NC,North Carolina,Low,High
NY,New York,Low,High
OK,Oklahoma,High,High
OR,Oregon,High,Low
PA,Pennsylvania,High,Low
TX,Texas,Low,High
TX,Texas,High,High
WI,Wisconsin,Low,Low
WY,Wyoming,Low,Low
AR,Arkansas,High,High
CA,California,Low,High
AL,Alabama,High,High
IN,Indiana,High,Low
IN,Indiana,High,Low
